,Rk,Age,G,GS,MP,FG,FGA,FG.,X3P,X3PA,X2PA,X2P.,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Fvot,FRank,Score
23,462,21,82,82,37.2,8.6,19.1,0.452,1.3,3.5,15.6,0.473,5.0,6.6,1.2,2.8,4.0,2.3,1.0,0.4,2.3,2.2,23.6,135482,19,18.8
24,100,23,75,75,36.1,10.3,20.3,0.505,0.5,1.8,18.6,0.524,6.9,8.6,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28.0,974802,4,3.5
25,312,31,49,7,14.6,2.0,5.1,0.389,0.8,2.7,2.4,0.479,0.7,0.8,0.2,0.4,0.6,0.5,0.5,0.0,0.1,0.9,5.5,7455,41,37.5
26,431,31,65,9,22.7,2.4,5.4,0.442,1.4,3.5,1.9,0.537,0.9,1.3,0.8,2.9,3.6,1.2,0.5,0.3,0.9,1.7,7.1,1083,115,79.5
27,341,29,8,0,3.5,0.3,0.5,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.3,0.5,0.8,0.3,0.0,0.1,0.3,0.4,0.5,216,129,90.0
28,34,30,75,2,15.5,1.9,3.7,0.513,0.0,0.0,3.7,0.513,1.1,1.3,1.5,3.0,4.4,0.4,0.2,0.5,0.7,2.2,4.9,2968,82,54.0
29,4,31,61,45,25.9,3.0,6.9,0.44,1.0,2.5,4.4,0.457,1.4,1.5,0.1,1.9,2.0,1.3,0.3,0.1,0.7,1.7,8.4,4413,53,43.5
30,376,24,74,29,27.8,4.4,9.9,0.442,1.5,4.0,5.8,0.491,1.8,2.6,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12.0,10045,39,36.5
31,55,26,55,55,33.4,6.5,14.1,0.46299999999999997,2.0,5.0,9.1,0.504,1.2,1.7,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,16.3,97441,10,10.0
32,295,23,61,26,19.3,3.0,6.9,0.43,1.1,2.8,4.1,0.462,1.1,1.5,0.3,1.8,2.1,0.8,0.5,0.1,1.0,1.8,8.1,1122,85,53.0
33,437,34,39,0,14.4,2.4,5.1,0.467,0.3,0.8,4.2,0.491,0.8,0.9,0.2,1.3,1.5,3.4,0.3,0.0,0.9,0.7,5.8,875,82,57.2
34,46,24,81,27,22.1,2.2,4.2,0.528,0.0,0.0,4.2,0.528,1.5,2.9,1.9,5.1,7.0,0.9,0.3,1.1,1.2,2.5,6.0,7804,55,37.5
35,168,27,61,61,34.0,7.9,15.9,0.493,0.6,1.9,14.1,0.514,5.2,6.9,1.8,6.3,8.1,4.9,0.9,0.4,2.3,2.6,21.6,295161,9,12.0
36,282,28,35,0,8.4,2.1,3.8,0.545,0.0,0.0,3.8,0.545,1.3,1.7,1.3,2.4,3.7,0.3,0.2,0.3,0.3,0.7,5.5,11551,41,30.5
37,60,32,25,0,4.9,0.9,2.4,0.38299999999999995,0.6,1.4,1.0,0.36,0.1,0.1,0.0,0.2,0.2,0.6,0.0,0.0,0.2,0.2,2.5,206,70,52.0
38,362,21,64,13,15.6,2.9,5.9,0.488,0.5,1.5,4.4,0.541,0.6,0.9,1.2,3.5,4.6,0.5,0.3,0.2,0.6,1.5,6.8,2127,93,72.0
39,50,27,81,54,25.7,4.6,10.4,0.445,1.8,4.8,5.6,0.512,2.7,3.0,0.5,3.0,3.4,1.4,0.4,0.1,1.6,1.8,13.7,9757,34,23.8
40,110,34,73,33,17.6,2.0,4.5,0.446,0.3,1.1,3.4,0.512,0.4,0.5,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,5125,68,49.5
41,36,23,77,77,34.9,8.3,17.2,0.48200000000000004,2.9,7.2,10.0,0.5379999999999999,3.7,4.4,0.7,2.4,3.1,3.5,1.1,0.3,2.0,2.2,23.1,48243,14,11.0
42,476,29,28,5,16.0,3.0,4.8,0.615,0.0,0.0,4.8,0.619,0.8,1.3,1.1,1.7,2.8,0.5,0.4,0.7,0.4,1.5,6.8,593,128,86.0
43,31,31,52,0,11.1,2.1,3.6,0.575,0.0,0.1,3.5,0.579,1.5,1.7,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6,3175,86,55.5
44,214,19,79,40,28.8,3.5,8.7,0.402,0.7,2.4,6.3,0.44299999999999995,1.7,2.7,0.8,3.2,4.0,2.1,0.6,0.5,1.5,2.0,9.4,50498,29,27.0
45,224,27,81,13,22.2,2.4,6.6,0.359,1.0,3.1,3.5,0.39899999999999997,1.4,1.9,0.4,2.1,2.4,4.9,0.9,0.0,1.6,1.4,7.1,16639,23,27.8
46,247,25,54,5,21.1,3.9,9.7,0.39799999999999996,0.8,2.6,7.1,0.425,2.4,2.9,0.5,1.7,2.2,2.4,0.5,0.1,1.6,1.6,11.0,2717,62,48.0
47,388,31,47,33,21.9,1.5,4.0,0.374,0.9,2.4,1.6,0.35600000000000004,0.3,0.4,0.3,1.8,2.1,1.0,0.5,0.5,0.6,0.9,4.2,1283,82,58.0
48,378,31,41,2,10.1,1.1,3.0,0.377,0.4,1.1,1.9,0.37200000000000005,0.8,1.0,0.1,0.8,1.0,1.3,0.2,0.0,0.6,0.4,3.5,484,91,61.8
49,227,22,3,0,3.0,0.7,2.3,0.28600000000000003,0.0,0.0,2.3,0.28600000000000003,0.0,0.0,0.3,0.7,1.0,0.3,0.7,0.3,0.3,0.0,1.3,1732,101,63.0
50,271,28,75,75,29.6,7.4,15.6,0.474,1.8,5.2,10.5,0.536,3.9,4.9,1.6,3.8,5.4,2.3,0.5,1.7,2.5,2.6,20.5,27227,24,18.0
51,67,21,9,0,4.4,0.7,1.8,0.375,0.2,0.7,1.1,0.4,0.0,0.0,0.6,0.6,1.1,0.4,0.2,0.1,0.2,0.4,1.6,5185,66,58.5
52,137,23,36,0,7.9,1.0,2.8,0.364,0.5,1.5,1.3,0.413,0.1,0.2,0.1,0.6,0.6,0.6,0.0,0.0,0.3,0.6,2.6,1865,76,48.5
53,192,24,82,55,23.0,4.0,9.4,0.426,1.8,4.6,4.7,0.461,0.8,0.9,0.4,2.9,3.3,1.5,0.5,0.1,1.2,1.4,10.6,4883,51,42.5
54,302,29,76,29,23.4,3.7,8.5,0.434,2.2,5.4,3.1,0.47100000000000003,1.1,1.2,0.4,2.6,3.0,0.6,0.6,0.3,0.5,2.0,10.7,1965,95,73.0
55,455,32,62,9,16.3,1.5,4.0,0.387,0.5,1.7,2.3,0.44799999999999995,0.9,1.1,0.3,1.2,1.4,1.8,0.7,0.0,0.8,1.4,4.5,369,92,62.2
56,463,26,22,0,4.9,0.4,1.4,0.258,0.1,0.7,0.7,0.313,0.1,0.1,0.2,0.4,0.5,0.5,0.1,0.0,0.3,0.4,1.0,287,93,62.8
57,353,22,31,0,14.9,2.1,6.2,0.332,0.9,2.8,3.5,0.34600000000000003,0.2,0.3,0.1,1.5,1.5,1.8,0.5,0.1,0.9,1.7,5.2,661,44,30.0
58,264,22,57,26,21.7,3.0,6.7,0.45,1.0,3.2,3.4,0.5710000000000001,1.2,1.6,0.4,2.9,3.3,1.9,0.9,0.1,1.0,1.6,8.2,2564,59,45.8
59,17,32,74,74,34.3,8.1,18.8,0.433,2.0,5.7,13.1,0.466,4.1,4.9,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,544133,6,7.5
60,348,28,34,34,19.9,2.2,6.5,0.33799999999999997,0.7,2.7,3.8,0.38799999999999996,1.0,1.3,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2,49,70,50.5
61,141,33,74,15,18.9,3.2,7.0,0.45799999999999996,1.9,4.5,2.5,0.546,0.9,1.0,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,9.1,46384,19,22.5
62,109,20,17,0,11.7,2.1,4.5,0.474,0.0,0.0,4.5,0.474,0.9,1.2,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1.0,5.1,877,119,81.5
63,342,20,5,1,10.4,1.0,1.4,0.7140000000000001,0.0,0.0,1.4,0.7140000000000001,0.8,0.8,0.4,1.6,2.0,0.6,0.6,0.2,0.8,1.2,2.8,6007,65,54.5
64,11,38,12,0,9.5,0.8,1.8,0.409,0.0,0.3,1.6,0.474,0.8,1.2,0.8,1.8,2.6,0.4,0.4,0.6,0.4,1.7,2.3,16219,34,42.5
65,290,21,16,0,5.0,1.0,2.0,0.5,0.1,0.4,1.6,0.6,0.2,0.3,0.6,0.6,1.2,0.1,0.1,0.1,0.2,0.4,2.3,911,114,75.0
66,351,31,61,61,31.5,6.1,12.9,0.47600000000000003,2.0,5.0,7.9,0.518,3.8,4.3,0.7,4.3,5.0,9.2,2.0,0.1,2.4,2.4,18.1,73546,5,5.0
67,474,21,13,0,8.2,0.9,1.8,0.522,0.0,0.4,1.4,0.667,0.8,1.2,1.1,1.2,2.2,0.2,0.2,0.5,0.5,0.8,2.7,593,122,86.5
68,288,25,80,80,35.0,8.7,18.0,0.48,2.3,5.5,12.5,0.506,3.4,3.7,0.8,2.9,3.6,3.6,0.9,0.5,2.2,2.5,23.0,83414,16,10.8
69,71,22,65,59,23.9,5.6,8.7,0.643,0.0,0.0,8.7,0.643,1.4,2.7,2.7,5.4,8.1,1.0,0.5,1.2,1.3,2.8,12.6,97556,22,26.5
70,482,24,62,58,27.8,4.1,7.1,0.5710000000000001,0.0,0.0,7.1,0.5720000000000001,2.1,3.2,2.2,4.4,6.5,1.6,1.0,0.9,1.0,3.0,10.3,6168,59,39.5
71,6,28,62,0,8.6,0.7,1.4,0.523,0.0,0.0,1.4,0.523,0.2,0.4,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,6282,63,42.8
72,56,30,82,11,15.6,1.8,4.2,0.42200000000000004,0.3,1.4,2.8,0.522,0.6,0.8,0.4,1.6,2.0,1.2,0.7,0.2,0.7,1.6,4.5,5087,28,36.0
73,241,25,80,22,25.0,3.7,8.3,0.452,0.6,1.7,6.6,0.47700000000000004,1.2,1.5,0.6,2.3,2.9,3.3,0.8,0.2,1.4,1.8,9.3,14122,24,28.2
74,258,31,77,74,31.9,4.2,9.1,0.456,1.4,3.5,5.6,0.49,1.1,1.3,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,11832,28,19.8
75,133,24,66,0,15.8,1.9,3.3,0.579,0.0,0.0,3.3,0.579,0.9,1.4,1.9,2.8,4.7,0.6,0.4,0.3,0.5,1.7,4.8,4225,72,54.0
76,389,20,63,60,28.7,5.6,13.8,0.405,2.1,6.1,7.7,0.447,2.3,3.0,0.5,3.0,3.5,4.8,1.4,0.3,2.8,2.1,15.6,8677,15,18.0
77,22,29,78,20,19.7,2.5,6.6,0.377,1.2,3.5,3.1,0.41200000000000003,1.7,2.1,0.2,1.3,1.5,2.7,0.4,0.0,1.2,1.3,7.9,4831,48,31.0
78,235,21,10,0,8.5,0.8,1.6,0.5,0.0,0.0,1.6,0.5,0.3,1.0,0.9,1.4,2.3,0.0,0.1,0.4,0.6,1.5,1.9,12176,46,45.0
79,266,26,75,75,35.9,8.8,19.8,0.444,2.9,7.7,12.1,0.49200000000000005,6.5,7.3,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2.0,27.0,340593,8,6.5
80,387,30,45,0,7.0,0.7,2.0,0.35200000000000004,0.4,1.4,0.5,0.45799999999999996,0.0,0.0,0.1,0.4,0.6,0.4,0.3,0.0,0.2,0.7,1.8,869,116,76.0
81,337,23,19,0,3.9,0.6,1.4,0.444,0.0,0.0,1.4,0.444,0.0,0.1,0.3,0.9,1.2,0.2,0.1,0.0,0.2,0.9,1.3,674,120,78.0
82,142,28,63,63,33.9,5.3,11.9,0.447,2.0,5.1,6.8,0.491,5.5,6.1,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2,2116,34,23.8
83,163,29,68,68,26.6,2.6,6.6,0.392,1.7,4.6,2.0,0.42,0.4,0.5,0.5,2.8,3.3,1.8,1.0,0.8,1.1,1.8,7.3,43922,24,29.0
84,96,29,66,35,25.0,2.6,5.4,0.485,1.1,2.7,2.7,0.579,0.2,0.4,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6,1445,107,69.0
85,128,21,66,26,18.6,2.3,5.5,0.42700000000000005,0.7,2.3,3.2,0.519,0.9,1.1,0.5,1.5,2.0,1.7,0.3,0.2,1.2,2.2,6.2,3411,57,36.5
86,204,23,1,0,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,653,121,73.5
87,392,22,81,36,26.3,4.7,11.4,0.41100000000000003,1.3,4.2,7.2,0.469,2.1,2.7,1.4,5.0,6.3,2.2,0.7,0.4,2.3,2.0,12.8,11068,43,39.5
88,20,28,41,7,15.6,2.3,5.2,0.442,1.3,2.9,2.4,0.429,0.5,0.5,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,6.4,1733,100,65.5
89,85,29,68,64,30.3,5.0,10.5,0.47600000000000003,1.1,2.6,7.9,0.495,2.2,2.5,0.3,1.9,2.2,4.6,1.0,0.1,1.7,1.8,13.2,1948,73,47.0
90,197,23,39,1,9.8,1.2,3.2,0.373,0.3,1.2,2.1,0.43799999999999994,0.5,0.7,0.1,0.8,0.8,0.8,0.3,0.1,0.7,1.0,3.3,640,90,61.2
91,259,33,79,10,18.7,3.1,5.3,0.59,0.0,0.0,5.3,0.59,1.0,1.4,1.9,3.7,5.6,1.6,0.4,0.5,1.0,1.6,7.3,23334,33,38.5
92,457,36,68,0,12.6,2.0,3.7,0.536,0.0,0.1,3.6,0.541,0.6,0.8,0.7,2.3,3.0,2.2,0.6,0.7,1.1,1.5,4.6,35631,32,38.0
93,44,24,67,6,12.1,1.5,3.5,0.44,1.0,2.6,0.9,0.557,0.4,0.5,0.3,1.1,1.5,0.7,0.3,0.4,0.5,1.1,4.5,20639,35,39.5
94,40,22,38,1,9.8,1.2,2.6,0.48,0.0,0.5,2.1,0.575,0.2,0.4,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7,1521,102,69.0
95,240,28,81,81,31.7,5.1,7.1,0.7140000000000001,0.0,0.0,7.1,0.7170000000000001,2.5,5.2,3.7,10.1,13.8,1.2,0.6,1.7,1.4,2.6,12.7,237708,11,9.2
96,265,28,62,19,12.5,0.9,2.3,0.387,0.3,0.7,1.5,0.396,0.4,0.6,0.3,1.4,1.7,0.9,0.8,0.2,0.7,1.3,2.5,20042,21,22.8
97,317,20,38,8,8.5,1.3,3.1,0.431,0.2,0.6,2.4,0.441,0.6,0.8,0.2,0.9,1.1,1.3,0.2,0.2,1.0,0.8,3.4,5867,46,40.0
98,477,24,27,0,16.5,1.8,4.3,0.42200000000000004,0.4,1.1,3.2,0.45299999999999996,1.6,2.0,0.6,1.2,1.8,2.1,1.0,0.4,0.9,1.1,5.6,136,78,55.2
99,108,27,74,74,35.4,9.7,20.9,0.467,0.4,1.7,19.2,0.484,7.4,8.7,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3,796112,3,2.8
100,90,26,72,72,34.2,9.0,19.9,0.452,1.8,5.0,14.8,0.483,7.2,9.3,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0,654274,6,5.0
101,72,30,72,72,26.1,3.1,7.6,0.4,1.5,4.4,3.2,0.483,1.2,1.6,0.9,2.9,3.8,1.0,1.1,0.4,0.8,2.0,8.9,26782,26,31.0
102,217,22,5,0,3.4,0.6,0.8,0.75,0.2,0.2,0.6,0.667,0.6,1.2,0.4,0.4,0.8,0.6,0.0,0.0,0.0,0.0,2.0,2046,67,49.8
103,394,23,79,78,31.5,6.9,15.4,0.451,1.3,3.7,11.6,0.48700000000000004,2.8,3.2,0.5,2.6,3.1,6.3,0.9,0.2,3.3,1.9,17.9,23565,20,18.5
104,441,23,57,0,17.1,1.8,5.1,0.354,1.3,3.6,1.4,0.363,0.2,0.3,0.2,2.5,2.6,1.1,0.5,0.1,0.9,1.5,5.1,3701,51,37.8
105,465,32,64,44,25.9,4.1,9.4,0.43799999999999994,1.3,3.7,5.7,0.486,1.4,1.7,0.2,2.1,2.3,5.6,0.5,0.1,2.2,2.2,11.0,7159,42,38.0
106,131,25,50,39,23.7,4.1,8.3,0.48700000000000004,0.1,0.2,8.1,0.491,1.3,2.2,1.8,4.3,6.1,1.1,0.9,0.8,1.2,2.1,9.5,107,52,35.0
107,236,19,32,8,17.0,2.1,3.8,0.562,0.1,0.3,3.4,0.591,0.9,1.3,1.2,1.3,2.5,0.4,0.4,0.4,0.4,2.0,5.3,505,129,86.5
108,383,28,64,64,32.5,7.2,15.3,0.47100000000000003,0.2,0.9,14.3,0.48700000000000004,3.5,4.0,1.0,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18.0,337706,6,7.2
109,466,25,50,11,16.1,2.2,4.9,0.44299999999999995,0.6,1.9,2.9,0.531,1.2,1.8,0.4,2.2,2.6,0.6,0.3,0.1,0.6,1.2,6.1,1154,110,80.5
110,53,20,78,78,35.0,7.8,18.3,0.423,1.9,5.2,13.2,0.447,4.7,5.7,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1,70018,21,14.5
111,176,33,65,0,16.7,2.1,5.2,0.39899999999999997,0.9,2.7,2.5,0.47600000000000003,1.6,2.0,0.2,1.8,2.0,2.1,0.7,0.1,0.9,1.6,6.7,1379,81,57.5
112,103,27,76,37,17.5,2.1,3.4,0.622,0.0,0.0,3.4,0.622,0.9,1.2,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1,17245,39,41.5
113,101,20,36,0,6.6,0.7,1.3,0.511,0.0,0.0,1.3,0.511,0.3,0.5,0.6,1.1,1.7,0.1,0.1,0.5,0.2,1.1,1.6,1213,113,78.5
114,415,19,7,0,3.4,0.4,1.9,0.231,0.0,0.0,1.9,0.231,0.6,0.6,0.1,0.7,0.9,0.0,0.0,0.1,0.3,0.7,1.4,952,117,80.5
115,450,25,46,43,30.1,6.1,14.4,0.424,1.8,4.7,9.7,0.43799999999999994,1.8,2.8,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8,2606,58,41.2
116,332,38,54,54,26.4,5.5,12.6,0.43700000000000006,1.5,3.9,8.7,0.46299999999999997,1.8,2.1,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2,112164,21,17.2
117,390,20,81,66,20.1,2.4,5.9,0.39899999999999997,0.6,2.0,4.0,0.43799999999999994,0.5,0.8,0.6,3.0,3.6,1.0,0.5,0.4,1.0,2.5,5.9,16325,41,29.8
118,313,26,34,0,14.1,1.7,4.1,0.413,0.3,1.4,2.7,0.505,0.7,1.4,0.8,2.2,3.0,0.9,0.5,0.3,0.9,1.6,4.4,1471,105,74.5
119,136,23,81,35,20.3,1.5,4.1,0.37200000000000005,0.7,2.4,1.8,0.479,0.6,0.8,0.7,2.1,2.7,0.8,0.6,0.3,0.6,1.5,4.3,1589,103,73.5
120,292,25,66,5,22.8,3.4,7.5,0.447,1.2,3.2,4.4,0.502,1.1,1.3,0.3,2.4,2.7,0.9,0.2,0.1,0.6,1.2,9.0,7464,56,53.5
121,41,19,43,0,13.3,1.3,3.7,0.354,0.7,2.3,1.4,0.483,0.1,0.3,0.5,1.9,2.4,0.5,0.2,0.5,0.7,1.7,3.4,2609,91,67.5
122,164,26,76,76,32.5,3.6,8.6,0.418,1.1,3.5,5.1,0.494,2.0,2.8,1.3,6.6,7.9,7.0,2.0,1.4,2.4,2.9,10.2,914973,5,6.2
123,205,31,74,74,29.7,5.2,8.3,0.633,0.0,0.0,8.3,0.635,3.1,5.7,4.0,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,151155,13,14.2
124,364,25,77,3,17.3,2.5,4.9,0.515,0.3,1.0,3.9,0.5710000000000001,1.4,1.8,1.2,2.8,4.0,0.6,0.8,0.5,0.4,1.8,6.7,1993,98,71.0
125,449,35,60,59,29.9,6.9,15.9,0.434,0.8,2.4,13.5,0.456,3.7,4.7,1.1,3.5,4.5,3.8,1.4,0.7,2.3,1.9,18.3,979566,2,4.0
126,309,27,73,22,24.9,3.9,8.5,0.457,1.1,2.8,5.6,0.501,0.8,1.0,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6,560,92,63.0
127,102,27,46,12,17.2,1.6,3.1,0.528,0.0,0.0,3.1,0.528,1.1,1.8,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3.0,4.3,298,90,60.5
128,354,22,82,58,29.4,5.2,11.1,0.47100000000000003,0.5,1.8,9.3,0.509,1.8,2.6,1.1,3.6,4.7,6.5,1.1,0.5,2.2,2.2,12.8,4651,50,37.2
129,315,20,55,41,25.6,3.8,10.0,0.377,1.0,3.2,6.8,0.408,2.4,3.0,0.5,2.7,3.2,3.9,0.7,0.2,2.2,1.7,11.0,577,47,27.2
130,243,24,72,0,21.3,5.6,10.2,0.545,0.1,0.5,9.7,0.568,3.1,4.0,2.7,4.0,6.7,0.9,0.4,0.5,1.7,2.1,14.3,63028,25,19.8
131,49,27,66,66,33.0,6.8,15.7,0.434,1.6,4.7,11.0,0.47700000000000004,5.9,6.9,0.8,4.1,4.8,6.3,1.4,0.5,3.4,2.5,21.1,27187,30,21.0
132,158,28,75,15,31.0,5.5,13.5,0.406,3.3,8.8,4.7,0.46799999999999997,2.0,2.3,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2.0,16.2,450891,7,8.8
133,212,29,82,52,26.1,4.7,10.9,0.431,1.7,4.9,6.0,0.496,2.0,2.5,1.4,4.5,5.9,1.7,0.7,0.3,1.4,2.6,13.1,162185,12,19.0
134,138,24,68,66,32.9,6.0,13.7,0.439,1.9,5.3,8.4,0.491,3.3,4.1,0.6,2.4,3.1,3.0,1.0,0.1,2.1,2.6,17.2,8882,36,28.0
135,435,28,65,12,25.5,3.6,8.5,0.426,0.5,1.8,6.7,0.47,1.3,1.6,0.6,3.2,3.8,3.2,0.8,0.4,1.5,1.9,9.0,2375,67,44.0
136,242,23,75,16,26.1,4.3,10.7,0.39899999999999997,1.5,4.7,6.0,0.455,1.6,2.1,0.8,3.7,4.5,2.2,0.6,0.5,1.0,1.9,11.7,5419,63,44.5
137,442,22,37,0,7.9,1.1,3.0,0.35100000000000003,0.3,0.8,2.2,0.341,0.5,0.6,0.1,1.0,1.1,0.9,0.4,0.1,0.4,1.0,2.9,1089,79,55.8
138,422,30,65,21,26.6,2.8,6.6,0.424,1.3,3.4,3.3,0.47600000000000003,0.9,1.1,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8,1765,77,49.0
139,177,22,57,56,31.3,5.6,11.2,0.502,1.9,4.5,6.7,0.5579999999999999,1.8,2.4,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,14.9,2562,64,36.0
140,194,30,49,49,31.5,5.9,12.4,0.47700000000000004,1.9,4.8,7.6,0.523,3.2,4.0,0.5,2.9,3.4,4.2,1.0,0.2,1.7,2.3,16.9,2812,29,19.2
