sum,x1,x2,x3,x4,x5
13.038,3,1,3,2,1
19.9705,3,1,3,2,2
26.903,3,1,3,2,3
16.552,3,1,3,3,1
25.22075,3,1,3,3,2
33.8895,3,1,3,3,3
5.845,3,2,1,1,1
8.7185,3,2,1,1,2
11.592,3,2,1,1,3
6.19,3,2,1,2,1
8.107,3,2,1,2,2
10.024,3,2,1,2,3
6.535,3,2,1,3,1
7.4955,3,2,1,3,2
8.456,3,2,1,3,3
5.604,3,2,2,1,1
7.432,3,2,2,1,2
9.26,3,2,2,1,3
3.188,3,2,2,2,1
1.084,3,2,2,2,2
-1.02,3,2,2,2,3
0.772,3,2,2,3,1
-5.264,3,2,2,3,2
-11.3,3,2,2,3,3
5.363,3,2,3,1,1
6.1455,3,2,3,1,2
6.928,3,2,3,1,3
0.186,3,2,3,2,1
-5.939,3,2,3,2,2
-12.064,3,2,3,2,3
-4.991,3,2,3,3,1
-18.0235,3,2,3,3,2
-31.056,3,2,3,3,3
4.84,3,3,1,1,1
6.34025,3,3,1,1,2
7.8405,3,3,1,1,3
2.31,3,3,1,2,1
-0.0295,3,3,1,2,2
-2.369,3,3,1,2,3
-0.22,3,3,1,3,1
-6.39925,3,3,1,3,2
-12.5785,3,3,1,3,3
3.021,3,3,2,1,1
1.9555,3,3,2,1,2
0.89,3,3,2,1,3
-5.178,3,3,2,2,1
-15.939,3,3,2,2,2
-26.7,3,3,2,2,3
-13.377,3,3,2,3,1
-33.8335,3,3,2,3,2
-54.29,3,3,2,3,3
1.202,3,3,3,1,1
-2.42925,3,3,3,1,2
-6.0605,3,3,3,1,3
-12.666,3,3,3,2,1
-31.8485,3,3,3,2,2
-51.031,3,3,3,2,3
-26.534,3,3,3,3,1
-61.26775,3,3,3,3,2
-96.0015,3,3,3,3,3
