sum,x1,x2,x3,x4,x5
752.4,2,2,3,3,3
70.5,2,3,1,1,1
124.8,2,3,1,1,2
179.1,2,3,1,1,3
124.8,2,3,1,2,1
219.5,2,3,1,2,2
314.2,2,3,1,2,3
179.1,2,3,1,3,1
314.2,2,3,1,3,2
449.3,2,3,1,3,3
124.8,2,3,2,1,1
219.9,2,3,2,1,2
315,2,3,2,1,3
220.5,2,3,2,2,1
377.3,2,3,2,2,2
534.1,2,3,2,2,3
316.2,2,3,2,3,1
534.7,2,3,2,3,2
753.2,2,3,2,3,3
179.1,2,3,3,1,1
315,2,3,3,1,2
450.9,2,3,3,1,3
316.2,2,3,3,2,1
535.1,2,3,3,2,2
754,2,3,3,2,3
453.3,2,3,3,3,1
755.2,2,3,3,3,2
1057.1,2,3,3,3,3
40.1,3,1,1,1,1
70.5,3,1,1,1,2
100.9,3,1,1,1,3
70.5,3,1,1,2,1
124.8,3,1,1,2,2
179.1,3,1,1,2,3
100.9,3,1,1,3,1
179.1,3,1,1,3,2
257.3,3,1,1,3,3
70.5,3,1,2,1,1
124.8,3,1,2,1,2
179.1,3,1,2,1,3
124.8,3,1,2,2,1
219.1,3,1,2,2,2
313.4,3,1,2,2,3
179.1,3,1,2,3,1
313.4,3,1,2,3,2
447.7,3,1,2,3,3
100.9,3,1,3,1,1
179.1,3,1,3,1,2
257.3,3,1,3,1,3
179.1,3,1,3,2,1
313.4,3,1,3,2,2
447.7,3,1,3,2,3
257.3,3,1,3,3,1
447.7,3,1,3,3,2
638.1,3,1,3,3,3
70.5,3,2,1,1,1
124.8,3,2,1,1,2
179.1,3,2,1,1,3
124.8,3,2,1,2,1
219.5,3,2,1,2,2
314.2,3,2,1,2,3
179.1,3,2,1,3,1
314.2,3,2,1,3,2
449.3,3,2,1,3,3
124.8,3,2,2,1,1
219.9,3,2,2,1,2
315,3,2,2,1,3
220.5,3,2,2,2,1
377.5,3,2,2,2,2
534.5,3,2,2,2,3
316.2,3,2,2,3,1
535.1,3,2,2,3,2
754,3,2,2,3,3
179.1,3,2,3,1,1
315,3,2,3,1,2
450.9,3,2,3,1,3
316.2,3,2,3,2,1
535.5,3,2,3,2,2
754.8,3,2,3,2,3
453.3,3,2,3,3,1
756,3,2,3,3,2
1058.7,3,2,3,3,3
100.9,3,3,1,1,1
179.1,3,3,1,1,2
257.3,3,3,1,1,3
179.1,3,3,1,2,1
314.2,3,3,1,2,2
449.3,3,3,1,2,3
257.3,3,3,1,3,1
449.3,3,3,1,3,2
641.3,3,3,1,3,3
179.1,3,3,2,1,1
315,3,3,2,1,2
450.9,3,3,2,1,3
316.2,3,3,2,2,1
535.9,3,3,2,2,2
755.6,3,3,2,2,3
453.3,3,3,2,3,1
756.8,3,3,2,3,2
1060.3,3,3,2,3,3
257.3,3,3,3,1,1
450.9,3,3,3,1,2
644.5,3,3,3,1,3
453.3,3,3,3,2,1
757.6,3,3,3,2,2
1061.9,3,3,3,2,3
649.3,3,3,3,3,1
1064.3,3,3,3,3,2
1479.3,3,3,3,3,3
